delta_aics (1220, 2)
scan progress 257 10.32
scan progress 258 10.36
scan progress 259 10.4
scan progress 260 10.44
scan progress 261 10.48
scan progress 262 10.52
scan progress 263 10.56
scan progress 264 10.6
scan progress 265 10.64
scan progress 266 10.68
scan progress 267 10.72
scan progress 268 10.76
scan progress 269 10.8
scan progress 270 10.84
scan progress 271 10.88
scan progress 272 10.92
scan progress 273 10.96
scan progress 274 11.0
scan progress 275 11.04
scan progress 276 11.08
scan progress 277 11.12
scan progress 278 11.16
scan progress 279 11.2
scan progress 280 11.24
scan progress 281 11.28
scan progress 282 11.32
scan progress 283 11.36
scan progress 284 11.4
scan progress 285 11.44
scan progress 286 11.48
scan progress 287 11.52
scan progress 288 11.56
scan progress 289 11.6
scan progress 290 11.64
scan progress 291 11.68
scan progress 292 11.72
scan progress 293 11.76
scan progress 294 11.8
scan progress 295 11.84
scan progress 296 11.88
scan progress 297 11.92
scan progress 298 11.96
scan progress 299 12.0
scan progress 300 12.04
scan progress 301 12.08
scan progress 302 12.12
scan progress 303 12.16
scan progress 304 12.2
scan progress 305 12.24
scan progress 306 12.28
scan progress 307 12.32
scan progress 308 12.36
scan progress 309 12.4
scan progress 310 12.44
scan progress 311 12.48
scan progress 312 12.52
scan progress 313 12.56
scan progress 314 12.6
scan progress 315 12.64
scan progress 316 12.68
scan progress 317 12.72
scan progress 318 12.76
scan progress 319 12.8
scan progress 320 12.84
scan progress 321 12.88
scan progress 322 12.92
scan progress 323 12.96
scan progress 324 13.0
scan progress 325 13.04
scan progress 326 13.08
scan progress 327 13.12
scan progress 328 13.16
scan progress 329 13.2
scan progress 330 13.24
scan progress 331 13.28
scan progress 332 13.32
scan progress 333 13.36
scan progress 334 13.4
scan progress 335 13.44
scan progress 336 13.48
scan progress 337 13.52
scan progress 338 13.56
scan progress 339 13.6
scan progress 340 13.64
scan progress 341 13.68
scan progress 342 13.72
scan progress 343 13.76
scan progress 344 13.8
scan progress 345 13.84
scan progress 346 13.88
scan progress 347 13.92
scan progress 348 13.96
scan progress 349 14.0
scan progress 350 14.04
scan progress 351 14.08
scan progress 352 14.12
scan progress 353 14.16
scan progress 354 14.2
scan progress 355 14.24
scan progress 356 14.28
scan progress 357 14.32
scan progress 358 14.36
scan progress 359 14.4
scan progress 360 14.44
scan progress 361 14.48
scan progress 362 14.52
scan progress 363 14.56
scan progress 364 14.6
scan progress 365 14.64
scan progress 366 14.68
scan progress 367 14.72
scan progress 368 14.76
scan progress 369 14.8
scan progress 370 14.84
scan progress 371 14.88
scan progress 372 14.92
scan progress 373 14.96
scan progress 374 15.0
scan progress 375 15.04
scan progress 376 15.08
scan progress 377 15.12
scan progress 378 15.16
scan progress 379 15.2
scan progress 380 15.24
scan progress 381 15.28
scan progress 382 15.32
scan progress 383 15.36
scan progress 384 15.4
scan progress 385 15.44
scan progress 386 15.48
scan progress 387 15.52
scan progress 388 15.56
scan progress 389 15.6
scan progress 390 15.64
scan progress 391 15.68
scan progress 392 15.72
scan progress 393 15.76
scan progress 394 15.8
scan progress 395 15.84
scan progress 396 15.88
scan progress 397 15.92
scan progress 398 15.96
scan progress 399 16.0
scan progress 400 16.04
scan progress 401 16.08
scan progress 402 16.12
scan progress 403 16.16
scan progress 404 16.2
scan progress 405 16.24
scan progress 406 16.28
scan progress 407 16.32
scan progress 408 16.36
scan progress 409 16.4
scan progress 410 16.44
scan progress 411 16.48
scan progress 412 16.52
scan progress 413 16.56
scan progress 414 16.6
scan progress 415 16.64
scan progress 416 16.68
scan progress 417 16.72
scan progress 418 16.76
scan progress 419 16.8
scan progress 420 16.84
scan progress 421 16.88
scan progress 422 16.92
scan progress 423 16.96
scan progress 424 17.0
scan progress 425 17.04
scan progress 426 17.08
scan progress 427 17.12
scan progress 428 17.16
scan progress 429 17.2
scan progress 430 17.24
scan progress 431 17.28
scan progress 432 17.32
scan progress 433 17.36
scan progress 434 17.4
scan progress 435 17.44
scan progress 436 17.48
scan progress 437 17.52
scan progress 438 17.56
scan progress 439 17.6
scan progress 440 17.64
scan progress 441 17.68
scan progress 442 17.72
scan progress 443 17.76
scan progress 444 17.8
scan progress 445 17.84
scan progress 446 17.88
scan progress 447 17.92
scan progress 448 17.96
scan progress 449 18.0
scan progress 450 18.04
scan progress 451 18.08
scan progress 452 18.12
scan progress 453 18.16
scan progress 454 18.2
scan progress 455 18.24
scan progress 456 18.28
scan progress 457 18.32
scan progress 458 18.36
scan progress 459 18.4
scan progress 460 18.44
scan progress 461 18.48
scan progress 462 18.52
scan progress 463 18.56
scan progress 464 18.6
scan progress 465 18.64
scan progress 466 18.68
scan progress 467 18.72
scan progress 468 18.76
scan progress 469 18.8
scan progress 470 18.84
scan progress 471 18.88
scan progress 472 18.92
scan progress 473 18.96
scan progress 474 19.0
scan progress 475 19.04
scan progress 476 19.08
scan progress 477 19.12
scan progress 478 19.16
scan progress 479 19.2
scan progress 480 19.24
scan progress 481 19.28
scan progress 482 19.32
scan progress 483 19.36
scan progress 484 19.4
scan progress 485 19.44
scan progress 486 19.48
scan progress 487 19.52
scan progress 488 19.56
scan progress 489 19.6
scan progress 490 19.64
scan progress 491 19.68
scan progress 492 19.72
scan progress 493 19.76
scan progress 494 19.8
scan progress 495 19.84
scan progress 496 19.88
scan progress 497 19.92
scan progress 498 19.96
scan progress 499 20.0
scan progress 500 20.04
scan progress 501 20.08
scan progress 502 20.12
scan progress 503 20.16
scan progress 504 20.2
scan progress 505 20.24
scan progress 506 20.28
scan progress 507 20.32
scan progress 508 20.36
scan progress 509 20.4
scan progress 510 20.44
scan progress 511 20.48
scan progress 512 20.52
scan progress 513 20.56
scan progress 514 20.6
scan progress 515 20.64
scan progress 516 20.68
scan progress 517 20.72
scan progress 518 20.76
scan progress 519 20.8
scan progress 520 20.84
scan progress 521 20.88
scan progress 522 20.92
scan progress 523 20.96
scan progress 524 21.0
scan progress 525 21.04
scan progress 526 21.08
scan progress 527 21.12
scan progress 528 21.16
scan progress 529 21.2
scan progress 530 21.24
scan progress 531 21.28
scan progress 532 21.32
scan progress 533 21.36
scan progress 534 21.4
scan progress 535 21.44
scan progress 536 21.48
scan progress 537 21.52
scan progress 538 21.56
scan progress 539 21.6
scan progress 540 21.64
scan progress 541 21.68
scan progress 542 21.72
scan progress 543 21.76
scan progress 544 21.8
scan progress 545 21.84
scan progress 546 21.88
scan progress 547 21.92
scan progress 548 21.96
scan progress 549 22.0
scan progress 550 22.04
scan progress 551 22.08
scan progress 552 22.12
scan progress 553 22.16
scan progress 554 22.2
scan progress 555 22.24
scan progress 556 22.28
scan progress 557 22.32
scan progress 558 22.36
scan progress 559 22.4
scan progress 560 22.44
scan progress 561 22.48
scan progress 562 22.52
scan progress 563 22.56
scan progress 564 22.6
scan progress 565 22.64
scan progress 566 22.68
scan progress 567 22.72
scan progress 568 22.76
scan progress 569 22.8
scan progress 570 22.84
scan progress 571 22.88
scan progress 572 22.92
scan progress 573 22.96
scan progress 574 23.0
scan progress 575 23.04
scan progress 576 23.08
scan progress 577 23.12
scan progress 578 23.16
scan progress 579 23.2
scan progress 580 23.24
scan progress 581 23.28
scan progress 582 23.32
scan progress 583 23.36
scan progress 584 23.4
scan progress 585 23.44
scan progress 586 23.48
scan progress 587 23.52
scan progress 588 23.56
scan progress 589 23.6
scan progress 590 23.64
scan progress 591 23.68
scan progress 592 23.72
scan progress 593 23.76
scan progress 594 23.8
scan progress 595 23.84
scan progress 596 23.88
scan progress 597 23.92
scan progress 598 23.96
scan progress 599 24.0
scan progress 600 24.04
scan progress 601 24.08
scan progress 602 24.12
scan progress 603 24.16
scan progress 604 24.2
scan progress 605 24.24
scan progress 606 24.28
scan progress 607 24.32
scan progress 608 24.36
scan progress 609 24.4
scan progress 610 24.44
scan progress 611 24.48
scan progress 612 24.52
scan progress 613 24.56
scan progress 614 24.6
scan progress 615 24.64
scan progress 616 24.68
scan progress 617 24.72
scan progress 618 24.76
scan progress 619 24.8
scan progress 620 24.84
scan progress 621 24.88
scan progress 622 24.92
scan progress 623 24.96
scan progress 624 25.0
scan progress 625 25.04
scan progress 626 25.08
scan progress 627 25.12
scan progress 628 25.16
scan progress 629 25.2
scan progress 630 25.24
scan progress 631 25.28
scan progress 632 25.32
scan progress 633 25.36
scan progress 634 25.4
scan progress 635 25.44
scan progress 636 25.48
scan progress 637 25.52
scan progress 638 25.56
scan progress 639 25.6
scan progress 640 25.64
scan progress 641 25.68
scan progress 642 25.72
scan progress 643 25.76
scan progress 644 25.8
scan progress 645 25.84
scan progress 646 25.88
scan progress 647 25.92
scan progress 648 25.96
scan progress 649 26.0
scan progress 650 26.04
scan progress 651 26.08
scan progress 652 26.12
scan progress 653 26.16
scan progress 654 26.2
scan progress 655 26.24
scan progress 656 26.28
scan progress 657 26.32
scan progress 658 26.36
scan progress 659 26.4
scan progress 660 26.44
scan progress 661 26.48
scan progress 662 26.52
scan progress 663 26.56
scan progress 664 26.6
scan progress 665 26.64
scan progress 666 26.68
scan progress 667 26.72
scan progress 668 26.76
scan progress 669 26.8
scan progress 670 26.84
scan progress 671 26.88
scan progress 672 26.92
scan progress 673 26.96
scan progress 674 27.0
scan progress 675 27.04
scan progress 676 27.08
scan progress 677 27.12
scan progress 678 27.16
scan progress 679 27.2
scan progress 680 27.24
scan progress 681 27.28
scan progress 682 27.32
scan progress 683 27.36
scan progress 684 27.4
scan progress 685 27.44
scan progress 686 27.48
scan progress 687 27.52
scan progress 688 27.56
scan progress 689 27.6
scan progress 690 27.64
scan progress 691 27.68
scan progress 692 27.72
scan progress 693 27.76
scan progress 694 27.8
scan progress 695 27.84
scan progress 696 27.88
scan progress 697 27.92
scan progress 698 27.96
scan progress 699 28.0
scan progress 700 28.04
scan progress 701 28.08
scan progress 702 28.12
scan progress 703 28.16
scan progress 704 28.2
scan progress 705 28.24
scan progress 706 28.28
scan progress 707 28.32
scan progress 708 28.36
scan progress 709 28.4
scan progress 710 28.44
scan progress 711 28.48
scan progress 712 28.52
scan progress 713 28.56
scan progress 714 28.6
scan progress 715 28.64
scan progress 716 28.68
scan progress 717 28.72
scan progress 718 28.76
scan progress 719 28.8
scan progress 720 28.84
scan progress 721 28.88
scan progress 722 28.92
scan progress 723 28.96
scan progress 724 29.0
scan progress 725 29.04
scan progress 726 29.08
scan progress 727 29.12
scan progress 728 29.16
scan progress 729 29.2
scan progress 730 29.24
scan progress 731 29.28
scan progress 732 29.32
scan progress 733 29.36
scan progress 734 29.4
scan progress 735 29.44
scan progress 736 29.48
scan progress 737 29.52
scan progress 738 29.56
scan progress 739 29.6
scan progress 740 29.64
scan progress 741 29.68
scan progress 742 29.72
scan progress 743 29.76
scan progress 744 29.8
scan progress 745 29.84
scan progress 746 29.88
scan progress 747 29.92
scan progress 748 29.96
scan progress 749 30.0
scan progress 750 30.04
scan progress 751 30.08
scan progress 752 30.12
scan progress 753 30.16
scan progress 754 30.2
scan progress 755 30.24
scan progress 756 30.28
scan progress 757 30.32
scan progress 758 30.36
scan progress 759 30.4
scan progress 760 30.44
scan progress 761 30.48
scan progress 762 30.52
scan progress 763 30.56
scan progress 764 30.6
scan progress 765 30.64
scan progress 766 30.68
scan progress 767 30.72
scan progress 768 30.76
scan progress 769 30.8
scan progress 770 30.84
scan progress 771 30.88
scan progress 772 30.92
scan progress 773 30.96
scan progress 774 31.0
scan progress 775 31.04
scan progress 776 31.08
scan progress 777 31.12
scan progress 778 31.16
scan progress 779 31.2
scan progress 780 31.24
scan progress 781 31.28
scan progress 782 31.32
scan progress 783 31.36
scan progress 784 31.4
scan progress 785 31.44
scan progress 786 31.48
scan progress 787 31.52
scan progress 788 31.56
scan progress 789 31.6
scan progress 790 31.64
scan progress 791 31.68
scan progress 792 31.72
scan progress 793 31.76
scan progress 794 31.8
scan progress 795 31.84
scan progress 796 31.88
scan progress 797 31.92
scan progress 798 31.96
scan progress 799 32.0
scan progress 800 32.04
scan progress 801 32.08
scan progress 802 32.12
scan progress 803 32.16
scan progress 804 32.2
scan progress 805 32.24
scan progress 806 32.28
scan progress 807 32.32
scan progress 808 32.36
scan progress 809 32.4
scan progress 810 32.44
scan progress 811 32.48
scan progress 812 32.52
scan progress 813 32.56
scan progress 814 32.6
scan progress 815 32.64
scan progress 816 32.68
scan progress 817 32.72
scan progress 818 32.76
scan progress 819 32.8
scan progress 820 32.84
scan progress 821 32.88
scan progress 822 32.92
scan progress 823 32.96
scan progress 824 33.0
scan progress 825 33.04
scan progress 826 33.08
scan progress 827 33.12
scan progress 828 33.16
scan progress 829 33.2
scan progress 830 33.24
scan progress 831 33.28
scan progress 832 33.32
scan progress 833 33.36
scan progress 834 33.4
scan progress 835 33.44
scan progress 836 33.48
scan progress 837 33.52
scan progress 838 33.56
scan progress 839 33.6
scan progress 840 33.64
scan progress 841 33.68
scan progress 842 33.72
scan progress 843 33.76
scan progress 844 33.8
scan progress 845 33.84
scan progress 846 33.88
scan progress 847 33.92
scan progress 848 33.96
scan progress 849 34.0
scan progress 850 34.04
scan progress 851 34.08
scan progress 852 34.12
scan progress 853 34.16
scan progress 854 34.2
scan progress 855 34.24
scan progress 856 34.28
scan progress 857 34.32
scan progress 858 34.36
scan progress 859 34.4
scan progress 860 34.44
scan progress 861 34.48
scan progress 862 34.52
scan progress 863 34.56
scan progress 864 34.6
scan progress 865 34.64
scan progress 866 34.68
scan progress 867 34.72
scan progress 868 34.76
scan progress 869 34.8
scan progress 870 34.84
scan progress 871 34.88
scan progress 872 34.92
scan progress 873 34.96
scan progress 874 35.0
scan progress 875 35.04
scan progress 876 35.08
scan progress 877 35.12
scan progress 878 35.16
scan progress 879 35.2
scan progress 880 35.24
scan progress 881 35.28
scan progress 882 35.32
scan progress 883 35.36
scan progress 884 35.4
scan progress 885 35.44
scan progress 886 35.48
scan progress 887 35.52
scan progress 888 35.56
scan progress 889 35.6
scan progress 890 35.64
scan progress 891 35.68
scan progress 892 35.72
scan progress 893 35.76
scan progress 894 35.8
scan progress 895 35.84
scan progress 896 35.88
scan progress 897 35.92
scan progress 898 35.96
scan progress 899 36.0
scan progress 900 36.04
scan progress 901 36.08
scan progress 902 36.12
scan progress 903 36.16
scan progress 904 36.2
scan progress 905 36.24
scan progress 906 36.28
scan progress 907 36.32
scan progress 908 36.36
scan progress 909 36.4
scan progress 910 36.44
scan progress 911 36.48
scan progress 912 36.52
scan progress 913 36.56
scan progress 914 36.6
scan progress 915 36.64
scan progress 916 36.68
scan progress 917 36.72
scan progress 918 36.76
scan progress 919 36.8
scan progress 920 36.84
scan progress 921 36.88
scan progress 922 36.92
scan progress 923 36.96
scan progress 924 37.0
scan progress 925 37.04
scan progress 926 37.08
scan progress 927 37.12
scan progress 928 37.16
scan progress 929 37.2
scan progress 930 37.24
scan progress 931 37.28
scan progress 932 37.32
scan progress 933 37.36
scan progress 934 37.4
scan progress 935 37.44
scan progress 936 37.48
scan progress 937 37.52
scan progress 938 37.56
scan progress 939 37.6
scan progress 940 37.64
scan progress 941 37.68
scan progress 942 37.72
scan progress 943 37.76
scan progress 944 37.8
scan progress 945 37.84
scan progress 946 37.88
scan progress 947 37.92
scan progress 948 37.96
scan progress 949 38.0
scan progress 950 38.04
scan progress 951 38.08
scan progress 952 38.12
scan progress 953 38.16
scan progress 954 38.2
scan progress 955 38.24
scan progress 956 38.28
scan progress 957 38.32
scan progress 958 38.36
scan progress 959 38.4
scan progress 960 38.44
scan progress 961 38.48
scan progress 962 38.52
scan progress 963 38.56
scan progress 964 38.6
scan progress 965 38.64
scan progress 966 38.68
scan progress 967 38.72
scan progress 968 38.76
scan progress 969 38.8
scan progress 970 38.84
scan progress 971 38.88
scan progress 972 38.92
scan progress 973 38.96
scan progress 974 39.0
scan progress 975 39.04
scan progress 976 39.08
scan progress 977 39.12
scan progress 978 39.16
scan progress 979 39.2
scan progress 980 39.24
scan progress 981 39.28
scan progress 982 39.32
scan progress 983 39.36
scan progress 984 39.4
scan progress 985 39.44
scan progress 986 39.48
scan progress 987 39.52
scan progress 988 39.56
scan progress 989 39.6
scan progress 990 39.64
scan progress 991 39.68
scan progress 992 39.72
scan progress 993 39.76
scan progress 994 39.8
scan progress 995 39.84
scan progress 996 39.88
scan progress 997 39.92
scan progress 998 39.96
scan progress 999 40.0
scan progress 1000 40.0246445
scan progress 1001 40.0346445
scan progress 1002 40.0446445
scan progress 1003 40.0546445
scan progress 1004 40.0646445
scan progress 1005 40.0746445
scan progress 1006 40.0846445
scan progress 1007 40.0946445
scan progress 1008 40.1046445
scan progress 1009 40.1146445
scan progress 1010 40.1246445
scan progress 1011 40.1346445
scan progress 1012 40.1446445
scan progress 1013 40.1546445
scan progress 1014 40.1646445
scan progress 1015 40.1746445
scan progress 1016 40.1846445
scan progress 1017 40.1946445
scan progress 1018 40.2046445
scan progress 1019 40.2146445
scan progress 1020 40.2246445
scan progress 1021 40.2346445
scan progress 1022 40.2446445
scan progress 1023 40.2546445
scan progress 1024 40.2646445
scan progress 1025 40.2746445
scan progress 1026 40.2846445
scan progress 1027 40.2946445
scan progress 1028 40.3046445
scan progress 1029 40.3146445
scan progress 1030 40.3246445
scan progress 1031 40.3346445
scan progress 1032 40.3446445
scan progress 1033 40.3546445
scan progress 1034 40.3646445
scan progress 1035 40.3746445
scan progress 1036 40.3846445
scan progress 1037 40.3946445
scan progress 1038 40.4046445
scan progress 1039 40.4146445
scan progress 1040 40.4246445
scan progress 1041 40.4346445
scan progress 1042 40.4446445
scan progress 1043 40.4546445
scan progress 1044 40.4646445
scan progress 1045 40.4746445
scan progress 1046 40.4846445
scan progress 1047 40.4946445
scan progress 1048 40.5046445
scan progress 1049 40.5146445
scan progress 1050 40.5246445
scan progress 1051 40.5346445
scan progress 1052 40.5446445
scan progress 1053 40.5546445
scan progress 1054 40.5646445
scan progress 1055 40.5746445
scan progress 1056 40.5846445
scan progress 1057 40.5946445
scan progress 1058 40.6046445
scan progress 1059 40.6146445
scan progress 1060 40.6246445
scan progress 1061 40.6346445
scan progress 1062 40.6446445
scan progress 1063 40.6546445
scan progress 1064 40.6646445
scan progress 1065 40.6746445
scan progress 1066 40.6846445
scan progress 1067 40.6946445
scan progress 1068 40.7046445
scan progress 1069 40.7146445
scan progress 1070 40.7246445
scan progress 1071 40.7346445
scan progress 1072 40.7446445
scan progress 1073 40.7546445
scan progress 1074 40.7646445
scan progress 1075 40.7746445
scan progress 1076 40.7846445
scan progress 1077 40.7946445
scan progress 1078 40.8046445
scan progress 1079 40.8146445
scan progress 1080 40.8246445
scan progress 1081 40.8346445
scan progress 1082 40.8446445
scan progress 1083 40.8546445
scan progress 1084 40.8646445
scan progress 1085 40.8746445
scan progress 1086 40.8846445
scan progress 1087 40.8946445
scan progress 1088 40.9046445
scan progress 1089 40.9146445
scan progress 1090 40.9246445
scan progress 1091 40.9346445
scan progress 1092 40.9446445
scan progress 1093 40.9546445
scan progress 1094 40.9646445
scan progress 1095 40.9746445
scan progress 1096 40.9846445
scan progress 1097 40.9946445
scan progress 1098 41.0046445
scan progress 1099 41.0146445
scan progress 1100 41.0246445
scan progress 1101 41.0346445
scan progress 1102 41.0446445
scan progress 1103 41.0546445
scan progress 1104 41.0646445
scan progress 1105 41.0746445
scan progress 1106 41.0846445
scan progress 1107 41.0946445
scan progress 1108 41.1046445
scan progress 1109 41.1146445
scan progress 1110 41.1246445
scan progress 1111 41.1346445
scan progress 1112 41.1446445
scan progress 1113 41.1546445
scan progress 1114 41.1646445
scan progress 1115 41.1746445
scan progress 1116 41.1846445
scan progress 1117 41.1946445
scan progress 1118 41.2046445
scan progress 1119 41.2146445
scan progress 1120 41.2246445
scan progress 1121 41.2346445
scan progress 1122 41.2446445
scan progress 1123 41.2546445
scan progress 1124 41.2646445
scan progress 1125 41.2746445
scan progress 1126 41.2846445
scan progress 1127 41.2946445
scan progress 1128 41.3046445
scan progress 1129 41.3146445
scan progress 1130 41.3246445
scan progress 1131 41.3346445
scan progress 1132 41.3446445
scan progress 1133 41.3546445
scan progress 1134 41.3646445
scan progress 1135 41.3746445
scan progress 1136 41.3846445
scan progress 1137 41.3946445
scan progress 1138 41.4046445
scan progress 1139 41.4146445
scan progress 1140 41.4246445
scan progress 1141 41.4346445
scan progress 1142 41.4446445
scan progress 1143 41.4546445
scan progress 1144 41.4646445
scan progress 1145 41.4746445
scan progress 1146 41.4846445
scan progress 1147 41.4946445
scan progress 1148 41.5046445
scan progress 1149 41.5146445
scan progress 1150 41.5246445
scan progress 1151 41.5346445
scan progress 1152 41.5446445
scan progress 1153 41.5546445
scan progress 1154 41.5646445
scan progress 1155 41.5746445
scan progress 1156 41.5846445
scan progress 1157 41.5946445
scan progress 1158 41.6046445
scan progress 1159 41.6146445
scan progress 1160 41.6246445
scan progress 1161 41.6346445
scan progress 1162 41.6446445
scan progress 1163 41.6546445
scan progress 1164 41.6646445
scan progress 1165 41.6746445
scan progress 1166 41.6846445
scan progress 1167 41.6946445
scan progress 1168 41.7046445
scan progress 1169 41.7146445
scan progress 1170 41.7246445
scan progress 1171 41.7346445
scan progress 1172 41.7446445
scan progress 1173 41.7546445
scan progress 1174 41.7646445
scan progress 1175 41.7746445
scan progress 1176 41.7846445
scan progress 1177 41.7946445
scan progress 1178 41.8046445
scan progress 1179 41.8146445
scan progress 1180 41.8246445
scan progress 1181 41.8346445
scan progress 1182 41.8446445
scan progress 1183 41.8546445
scan progress 1184 41.8646445
scan progress 1185 41.8746445
scan progress 1186 41.8846445
scan progress 1187 41.8946445
scan progress 1188 41.9046445
scan progress 1189 41.9146445
scan progress 1190 41.9246445
scan progress 1191 41.9346445
scan progress 1192 41.9446445
scan progress 1193 41.9546445
scan progress 1194 41.9646445
scan progress 1195 41.9746445
scan progress 1196 41.9846445
scan progress 1197 41.9946445
scan progress 1198 42.0046445
scan progress 1199 42.0146445
scan progress 1200 42.0246445
scan progress 1201 42.0346445
scan progress 1202 42.0446445
scan progress 1203 42.0546445
scan progress 1204 42.0646445
scan progress 1205 42.0746445
scan progress 1206 42.0846445
scan progress 1207 42.0946445
scan progress 1208 42.1046445
scan progress 1209 42.1146445
scan progress 1210 42.1246445
scan progress 1211 42.1346445
